datetime,country,precio_eur_mwh
2026-05-30 00:00:00,ES,127.94
2026-05-30 01:00:00,ES,126.98
2026-05-30 02:00:00,ES,120.24
2026-05-30 03:00:00,ES,113.95
2026-05-30 04:00:00,ES,110.09
2026-05-30 05:00:00,ES,111.2
2026-05-30 06:00:00,ES,107.55
2026-05-30 07:00:00,ES,108.67
2026-05-30 08:00:00,ES,113.96
2026-05-30 09:00:00,ES,108.57
2026-05-30 10:00:00,ES,107.44
2026-05-30 11:00:00,ES,106.0
2026-05-30 12:00:00,ES,112.0
2026-05-30 13:00:00,ES,111.0
2026-05-30 14:00:00,ES,111.03
2026-05-30 15:00:00,ES,111.02
2026-05-30 16:00:00,ES,118.52
2026-05-30 17:00:00,ES,-0.84
2026-05-30 18:00:00,ES,-2.11
2026-05-30 19:00:00,ES,117.2
2026-05-30 20:00:00,ES,118.81
2026-05-30 21:00:00,ES,117.21
2026-05-30 22:00:00,ES,115.45
2026-05-30 23:00:00,ES,118.14
2026-05-31 00:00:00,ES,111.2
2026-05-31 01:00:00,ES,0.0
2026-05-31 02:00:00,ES,103.01
2026-05-31 03:00:00,ES,-1.38
2026-05-31 04:00:00,ES,112.52
2026-05-31 05:00:00,ES,113.91
2026-05-31 06:00:00,ES,94.04
2026-05-31 07:00:00,ES,86.12
2026-05-31 08:00:00,ES,85.62
2026-05-31 09:00:00,ES,76.39
2026-05-31 10:00:00,ES,95.56
2026-05-31 11:00:00,ES,49.3
2026-05-31 12:00:00,ES,66.65
2026-05-31 13:00:00,ES,43.26
2026-05-31 14:00:00,ES,30.0
2026-05-31 15:00:00,ES,94.33
2026-05-31 16:00:00,ES,18.0
2026-05-31 17:00:00,ES,93.72
2026-05-31 18:00:00,ES,0.1
2026-05-31 19:00:00,ES,-0.01
2026-05-31 20:00:00,ES,0.86
2026-05-31 21:00:00,ES,1.0
2026-05-31 22:00:00,ES,113.42
2026-05-31 23:00:00,ES,84.88
2026-06-01 00:00:00,ES,108.4
2026-06-01 01:00:00,ES,89.0
2026-06-01 02:00:00,ES,92.31
2026-06-01 03:00:00,ES,-4.54
2026-06-01 04:00:00,ES,94.66
2026-06-01 05:00:00,ES,119.58
2026-06-01 06:00:00,ES,63.5
2026-06-01 07:00:00,ES,92.97
2026-06-01 08:00:00,ES,-0.1
2026-06-01 09:00:00,ES,-0.11
2026-06-01 10:00:00,ES,0.8
2026-06-01 11:00:00,ES,1.0
2026-06-01 12:00:00,ES,-0.02
2026-06-01 13:00:00,ES,0.92
2026-06-01 14:00:00,ES,8.1
2026-06-01 15:00:00,ES,-0.01
2026-06-01 16:00:00,ES,0.01
2026-06-01 17:00:00,ES,33.12
2026-06-01 18:00:00,ES,101.38
2026-06-01 19:00:00,ES,103.92
2026-06-01 20:00:00,ES,37.68
2026-06-01 21:00:00,ES,23.26
2026-06-01 22:00:00,ES,103.0
2026-06-01 23:00:00,ES,-0.01
2026-06-02 00:00:00,ES,77.01
2026-06-02 01:00:00,ES,24.64
2026-06-02 02:00:00,ES,26.09
2026-06-02 03:00:00,ES,108.77
2026-06-02 04:00:00,ES,105.34
2026-06-02 05:00:00,ES,120.33
2026-06-02 06:00:00,ES,95.66
2026-06-02 07:00:00,ES,94.6
2026-06-02 08:00:00,ES,80.0
2026-06-02 09:00:00,ES,104.71
2026-06-02 10:00:00,ES,110.4
2026-06-02 11:00:00,ES,104.94
2026-06-02 12:00:00,ES,96.72
2026-06-02 13:00:00,ES,94.86
2026-06-02 14:00:00,ES,32.96
2026-06-02 15:00:00,ES,114.0
2026-06-02 16:00:00,ES,27.01
2026-06-02 17:00:00,ES,89.01
2026-06-02 18:00:00,ES,93.48
2026-06-02 19:00:00,ES,20.67
2026-06-02 20:00:00,ES,36.97
2026-06-02 21:00:00,ES,12.53
2026-06-02 22:00:00,ES,0.0
2026-06-02 23:00:00,ES,29.01
2026-06-03 00:00:00,ES,126.0
2026-06-03 01:00:00,ES,0.84
2026-06-03 02:00:00,ES,128.0
2026-06-03 03:00:00,ES,19.48
2026-06-03 04:00:00,ES,2.09
2026-06-03 05:00:00,ES,26.89
2026-06-03 06:00:00,ES,41.08
2026-06-03 07:00:00,ES,115.63
2026-06-03 08:00:00,ES,49.93
2026-06-03 09:00:00,ES,9.85
2026-06-03 10:00:00,ES,114.46
2026-06-03 11:00:00,ES,85.92
2026-06-03 12:00:00,ES,12.77
2026-06-03 13:00:00,ES,33.56
2026-06-03 14:00:00,ES,26.07
2026-06-03 15:00:00,ES,105.9
2026-06-03 16:00:00,ES,106.14
2026-06-03 17:00:00,ES,2.2
2026-06-03 18:00:00,ES,-10.82
2026-06-03 19:00:00,ES,-4.16
2026-06-03 20:00:00,ES,20.99
2026-06-03 21:00:00,ES,30.01
2026-06-03 22:00:00,ES,102.81
2026-06-03 23:00:00,ES,-10.82
2026-06-04 00:00:00,ES,40.11
2026-06-04 01:00:00,ES,50.24
2026-06-04 02:00:00,ES,51.0
2026-06-04 03:00:00,ES,66.7
2026-06-04 04:00:00,ES,-0.01
2026-06-04 05:00:00,ES,85.18
2026-06-04 06:00:00,ES,92.97
2026-06-04 07:00:00,ES,110.0
2026-06-04 08:00:00,ES,100.44
2026-06-04 09:00:00,ES,108.77
2026-06-04 10:00:00,ES,119.7
2026-06-04 11:00:00,ES,132.01
2026-06-04 12:00:00,ES,131.67
2026-06-04 13:00:00,ES,136.59
2026-06-04 14:00:00,ES,-0.02
2026-06-04 15:00:00,ES,140.0
2026-06-04 16:00:00,ES,142.43
2026-06-04 17:00:00,ES,-0.09
2026-06-04 18:00:00,ES,-1.0
2026-06-04 19:00:00,ES,-1.05
2026-06-04 20:00:00,ES,120.9
2026-06-04 21:00:00,ES,130.0
2026-06-04 22:00:00,ES,124.1
2026-06-04 23:00:00,ES,118.13
2026-06-05 00:00:00,ES,-15.79
2026-06-05 01:00:00,ES,-10.71
2026-06-05 02:00:00,ES,-3.26
2026-06-05 03:00:00,ES,1.5
2026-06-05 04:00:00,ES,1.0
2026-06-05 05:00:00,ES,4.18
2026-06-05 06:00:00,ES,8.3
2026-06-05 07:00:00,ES,35.29
2026-06-05 08:00:00,ES,25.45
2026-06-05 09:00:00,ES,59.99
2026-06-05 10:00:00,ES,84.63
2026-06-05 11:00:00,ES,90.0
2026-06-05 12:00:00,ES,88.35
2026-06-05 13:00:00,ES,92.16
2026-06-05 14:00:00,ES,93.72
2026-06-05 15:00:00,ES,109.86
2026-06-05 16:00:00,ES,94.86
2026-06-05 17:00:00,ES,93.42
2026-06-05 18:00:00,ES,104.86
2026-06-05 19:00:00,ES,102.68
2026-06-05 20:00:00,ES,103.28
2026-06-05 21:00:00,ES,102.0
2026-06-05 22:00:00,ES,101.68
2026-06-05 23:00:00,ES,101.13
