datetime,country,precio_eur_mwh
2026-05-30 00:00:00,FR,130.0
2026-05-30 01:00:00,FR,127.98
2026-05-30 02:00:00,FR,120.24
2026-05-30 03:00:00,FR,115.0
2026-05-30 05:00:00,FR,111.2
2026-05-30 06:00:00,FR,111.55
2026-05-30 07:00:00,FR,109.7
2026-05-30 08:00:00,FR,111.23
2026-05-30 09:00:00,FR,108.57
2026-05-30 10:00:00,FR,104.98
2026-05-30 11:00:00,FR,71.46
2026-05-30 12:00:00,FR,102.74
2026-05-30 13:00:00,FR,87.78
2026-05-30 14:00:00,FR,73.55
2026-05-30 15:00:00,FR,89.01
2026-05-30 16:00:00,FR,95.27
2026-05-30 17:00:00,FR,89.26
2026-05-30 18:00:00,FR,82.43
2026-05-30 19:00:00,FR,76.23
2026-05-30 20:00:00,FR,97.99
2026-05-30 21:00:00,FR,86.42
2026-05-30 22:00:00,FR,92.07
2026-05-30 23:00:00,FR,82.31
2026-05-31 00:00:00,FR,103.52
2026-05-31 01:00:00,FR,100.66
2026-05-31 02:00:00,FR,99.86
2026-05-31 03:00:00,FR,81.57
2026-05-31 04:00:00,FR,77.9
2026-05-31 05:00:00,FR,94.0
2026-05-31 06:00:00,FR,99.26
2026-05-31 07:00:00,FR,93.13
2026-05-31 08:00:00,FR,94.6
2026-05-31 09:00:00,FR,64.4
2026-05-31 10:00:00,FR,52.38
2026-05-31 11:00:00,FR,35.35
2026-05-31 12:00:00,FR,47.67
2026-05-31 13:00:00,FR,26.9
2026-05-31 14:00:00,FR,43.19
2026-05-31 15:00:00,FR,34.44
2026-05-31 16:00:00,FR,31.81
2026-05-31 17:00:00,FR,1.75
2026-05-31 18:00:00,FR,0.1
2026-05-31 19:00:00,FR,0.0
2026-05-31 20:00:00,FR,28.72
2026-05-31 21:00:00,FR,36.4
2026-05-31 22:00:00,FR,-0.01
2026-05-31 23:00:00,FR,24.03
2026-06-01 00:00:00,FR,26.61
2026-06-01 01:00:00,FR,28.47
2026-06-01 02:00:00,FR,24.18
2026-06-01 03:00:00,FR,12.33
2026-06-01 04:00:00,FR,36.46
2026-06-01 05:00:00,FR,26.59
2026-06-01 06:00:00,FR,-0.11
2026-06-01 07:00:00,FR,43.92
2026-06-01 08:00:00,FR,-0.1
2026-06-01 09:00:00,FR,-0.11
2026-06-01 10:00:00,FR,10.9
2026-06-01 11:00:00,FR,1.0
2026-06-01 12:00:00,FR,8.17
2026-06-01 13:00:00,FR,-0.01
2026-06-01 14:00:00,FR,0.0
2026-06-01 15:00:00,FR,0.0
2026-06-01 16:00:00,FR,35.43
2026-06-01 17:00:00,FR,4.06
2026-06-01 18:00:00,FR,0.01
2026-06-01 19:00:00,FR,0.0
2026-06-01 20:00:00,FR,8.44
2026-06-01 21:00:00,FR,13.5
2026-06-01 22:00:00,FR,32.76
2026-06-01 23:00:00,FR,43.22
2026-06-02 00:00:00,FR,24.56
2026-06-02 01:00:00,FR,120.2
2026-06-02 02:00:00,FR,69.02
2026-06-02 03:00:00,FR,35.06
2026-06-02 04:00:00,FR,97.27
2026-06-02 05:00:00,FR,83.69
2026-06-02 06:00:00,FR,87.38
2026-06-02 07:00:00,FR,36.14
2026-06-02 08:00:00,FR,65.47
2026-06-02 09:00:00,FR,110.57
2026-06-02 10:00:00,FR,93.08
2026-06-02 11:00:00,FR,70.0
2026-06-02 12:00:00,FR,75.0
2026-06-02 13:00:00,FR,0.0
2026-06-02 14:00:00,FR,32.96
2026-06-02 15:00:00,FR,110.29
2026-06-02 16:00:00,FR,115.0
2026-06-02 17:00:00,FR,113.58
2026-06-02 18:00:00,FR,117.79
2026-06-02 19:00:00,FR,10.52
2026-06-02 20:00:00,FR,28.99
2026-06-02 21:00:00,FR,12.53
2026-06-02 22:00:00,FR,8.01
2026-06-02 23:00:00,FR,7.27
2026-06-03 00:00:00,FR,14.0
2026-06-03 01:00:00,FR,22.2
2026-06-03 02:00:00,FR,8.01
2026-06-03 03:00:00,FR,39.33
2026-06-03 04:00:00,FR,2.09
2026-06-03 05:00:00,FR,24.46
2026-06-03 06:00:00,FR,2.0
2026-06-03 07:00:00,FR,61.9
2026-06-03 08:00:00,FR,72.35
2026-06-03 09:00:00,FR,72.65
2026-06-03 10:00:00,FR,65.63
2026-06-03 11:00:00,FR,49.0
2026-06-03 12:00:00,FR,50.0
2026-06-03 13:00:00,FR,1.2
2026-06-03 14:00:00,FR,90.17
2026-06-03 15:00:00,FR,93.22
2026-06-03 16:00:00,FR,1.44
2026-06-03 17:00:00,FR,100.8
2026-06-03 18:00:00,FR,104.67
2026-06-03 19:00:00,FR,3.08
2026-06-03 20:00:00,FR,4.29
2026-06-03 21:00:00,FR,89.8
2026-06-03 22:00:00,FR,0.0
2026-06-03 23:00:00,FR,85.32
2026-06-04 00:00:00,FR,24.11
2026-06-04 01:00:00,FR,38.91
2026-06-04 02:00:00,FR,46.0
2026-06-04 03:00:00,FR,71.34
2026-06-04 04:00:00,FR,-0.01
2026-06-04 05:00:00,FR,84.01
2026-06-04 06:00:00,FR,140.65
2026-06-04 07:00:00,FR,172.55
2026-06-04 08:00:00,FR,99.44
2026-06-04 09:00:00,FR,113.57
